Wall time,Step,Value
1767046869.1763747,4096,-11.378782272338867
1767046878.3603034,6144,-11.406100273132324
1767046888.5104845,8192,-11.434463500976562
1767046899.1366282,10240,-11.460128784179688
1767046909.565402,12288,-11.513773918151855
1767046920.0601785,14336,-11.552057266235352
1767046929.6363723,16384,-11.582037925720215
1767046939.5072837,18432,-11.620636940002441
1767046949.2302547,20480,-11.645450592041016
1767046959.6153,22528,-11.672347068786621
1767046971.1763747,24576,-11.675248146057129
1767046982.3813093,26624,-11.672274589538574
1767046992.3292046,28672,-11.68807601928711
1767047003.1487994,30720,-11.713953971862793
1767047013.3440216,32768,-11.713482856750488
1767047023.387858,34816,-11.727102279663086
1767047032.5911984,36864,-11.755520820617676
1767047042.5080416,38912,-11.801406860351562
1767047052.7943733,40960,-11.845852851867676
1767047062.8849733,43008,-11.878432273864746
1767047073.6709185,45056,-11.921302795410156
1767047083.2486136,47104,-11.941361427307129
1767047093.735362,49152,-11.955263137817383
1767047104.8645563,51200,-11.971060752868652
1767047115.6697917,53248,-11.97160530090332
1767047130.5782652,55296,-11.985624313354492
1767047139.6259043,57344,-11.99293041229248
1767047149.221717,59392,-12.047957420349121
1767047158.639349,61440,-12.104307174682617
1767047168.1814256,63488,-12.145034790039062
1767047178.0128932,65536,-12.172171592712402
1767047187.8605053,67584,-12.176133155822754
1767047198.640945,69632,-12.193549156188965
1767047208.920449,71680,-12.224063873291016
1767047218.764192,73728,-12.249661445617676
1767047229.3437202,75776,-12.264931678771973
1767047242.8519897,77824,-12.268510818481445
1767047252.654951,79872,-12.273414611816406
1767047262.8451345,81920,-12.27108383178711
1767047272.0538037,83968,-12.265024185180664
1767047283.12039,86016,-12.270490646362305
1767047293.794771,88064,-12.280440330505371
1767047303.0741224,90112,-12.287386894226074
1767047316.891716,92160,-12.301578521728516
1767047326.6893187,94208,-12.327011108398438
1767047336.9498808,96256,-12.3434476852417
1767047346.7043364,98304,-12.369812965393066
1767047357.2698286,100352,-12.386972427368164
1767047367.8861187,102400,-12.435379028320312
1767047378.5901554,104448,-12.486567497253418
1767047392.6245055,106496,-12.552062034606934
1767047402.3902605,108544,-12.59801197052002
1767047412.7241948,110592,-12.610516548156738
1767047427.135211,112640,-12.61880874633789
1767047436.578436,114688,-12.61559772491455
1767047448.3175247,116736,-12.613415718078613
1767047463.0043893,118784,-12.612090110778809
1767047473.372372,120832,-12.602617263793945
1767047483.2039917,122880,-12.642045021057129
1767047493.0362356,124928,-12.756787300109863
1767047503.416539,126976,-12.854512214660645
1767047514.622078,129024,-12.91220474243164
1767047525.3913858,131072,-12.934072494506836
1767047535.0762627,133120,-12.948582649230957
1767047545.631926,135168,-12.960711479187012
1767047556.335834,137216,-12.997654914855957
1767047565.8717408,139264,-13.02431869506836
1767047577.3439481,141312,-13.04897689819336
1767047586.8355,143360,-13.075164794921875
1767047601.2612152,145408,-13.085506439208984
1767047612.0069718,147456,-13.123921394348145
1767047621.845857,149504,-13.143363952636719
1767047631.8549633,151552,-13.13720703125
1767047650.3052347,153600,-13.15538501739502
1767047660.3146403,155648,-13.17725658416748
1767047669.6484852,157696,-13.181344985961914
1767047678.999147,159744,-13.199849128723145
