Wall time,Step,Value
1767046859.4932065,2048,239.0
1767046869.1755788,4096,224.0
1767046878.3594623,6144,224.0
1767046888.5096068,8192,218.0
1767046899.1358037,10240,212.0
1767046909.5644057,12288,209.0
1767046920.0593677,14336,207.0
1767046929.635546,16384,208.0
1767046939.5064745,18432,208.0
1767046949.2293916,20480,208.0
1767046959.614448,22528,207.0
1767046971.1755266,24576,204.0
1767046982.3804874,26624,202.0
1767046992.3283653,28672,202.0
1767047003.1479354,30720,201.0
1767047013.3432374,32768,201.0
1767047023.387018,34816,201.0
1767047032.5902061,36864,202.0
1767047042.5072265,38912,203.0
1767047052.793164,40960,202.0
1767047062.884052,43008,202.0
1767047073.6700401,45056,202.0
1767047083.2477732,47104,202.0
1767047093.7345338,49152,202.0
1767047104.863783,51200,201.0
1767047115.668824,53248,201.0
1767047130.5773563,55296,197.0
1767047139.625042,57344,198.0
1767047149.220919,59392,199.0
1767047158.6384606,61440,199.0
1767047168.180602,63488,200.0
1767047178.0120385,65536,200.0
1767047187.8597252,67584,200.0
1767047198.6401453,69632,200.0
1767047208.9193878,71680,200.0
1767047218.7634223,73728,200.0
1767047229.3428595,75776,200.0
1767047242.8511734,77824,198.0
1767047252.6540923,79872,198.0
1767047262.8443537,81920,198.0
1767047272.052997,83968,199.0
1767047283.1195664,86016,199.0
1767047293.7939532,88064,198.0
1767047303.0732749,90112,199.0
1767047316.8909128,92160,197.0
1767047326.6885257,94208,198.0
1767047336.9490995,96256,198.0
1767047346.703552,98304,198.0
1767047357.2689679,100352,198.0
1767047367.8853083,102400,198.0
1767047378.589348,104448,197.0
1767047392.6236422,106496,196.0
1767047402.389346,108544,196.0
1767047412.7233827,110592,196.0
1767047427.134366,112640,195.0
1767047436.5775537,114688,195.0
1767047448.3166406,116736,195.0
1767047463.0033092,118784,194.0
1767047473.3715763,120832,194.0
1767047483.2032046,122880,194.0
1767047493.0354536,124928,194.0
1767047503.4157233,126976,194.0
1767047514.6212757,129024,194.0
1767047525.390496,131072,194.0
1767047535.0754318,133120,194.0
1767047545.6308043,135168,194.0
1767047556.3349516,137216,194.0
1767047565.8708727,139264,194.0
1767047577.3431573,141312,194.0
1767047586.8346663,143360,194.0
1767047601.2602034,145408,193.0
1767047612.0060108,147456,193.0
1767047621.845064,149504,193.0
1767047631.853864,151552,194.0
1767047650.3044417,153600,192.0
1767047660.3137891,155648,192.0
1767047669.6476555,157696,192.0
1767047678.9983613,159744,192.0
1767047688.3794844,161792,193.0
1767047698.4980521,163840,193.0
1767047708.9566262,165888,193.0
1767047719.6727178,167936,193.0
1767047729.0844078,169984,193.0
1767047738.8640363,172032,193.0
1767047748.9762514,174080,193.0
1767047758.444413,176128,194.0
1767047767.8190088,178176,194.0
1767047782.2459388,180224,193.0
1767047792.4320507,182272,193.0
1767047803.0260339,184320,193.0
1767047813.5202386,186368,193.0
1767047823.5810316,188416,193.0
1767047833.3027258,190464,193.0
1767047843.9914265,192512,193.0
1767047854.117589,194560,193.0
1767047864.088724,196608,194.0
1767047874.2644675,198656,194.0
1767047883.7474263,200704,194.0
1767047893.8687882,202752,194.0
1767047903.616463,204800,194.0
