Wall time,Step,Value
1767046899.1356003,10240,-4468.087890625
1767046909.564207,12288,-4468.087890625
1767046920.059103,14336,-4468.087890625
1767046929.6353443,16384,-4468.087890625
1767046939.5062757,18432,-4468.087890625
1767046949.2291768,20480,-4523.3876953125
1767046959.6142552,22528,-4523.3876953125
1767046971.175325,24576,-4523.3876953125
1767046982.3802829,26624,-4523.3876953125
1767046992.3281431,28672,-4523.3876953125
1767047003.1477473,30720,-4521.7060546875
1767047013.3427677,32768,-4521.7060546875
1767047023.3868017,34816,-4521.7060546875
1767047032.5899901,36864,-4521.7060546875
1767047042.5070002,38912,-4521.7060546875
1767047052.7928855,40960,-4654.01953125
1767047062.883816,43008,-4654.01953125
1767047073.6698117,45056,-4654.01953125
1767047083.2475753,47104,-4654.01953125
1767047093.7343287,49152,-4654.01953125
1767047104.8635643,51200,-4494.47216796875
1767047115.668579,53248,-4494.47216796875
1767047130.5771441,55296,-3527.776611328125
1767047139.6248286,57344,-3527.776611328125
1767047149.2207143,59392,-3527.776611328125
1767047158.6382637,61440,-3527.776611328125
1767047168.1803527,63488,-3527.776611328125
1767047178.0117548,65536,-3717.709228515625
1767047187.8595273,67584,-3717.709228515625
1767047198.6399193,69632,-3717.709228515625
1767047208.9191377,71680,-3717.709228515625
1767047218.7632167,73728,-3717.709228515625
1767047229.3426552,75776,-3818.609130859375
1767047242.8509305,77824,-3229.23779296875
1767047252.6538882,79872,-3229.23779296875
1767047262.8441565,81920,-3229.23779296875
1767047272.0527883,83968,-3229.23779296875
1767047283.1193495,86016,-3229.23779296875
1767047293.7937355,88064,-3334.017822265625
1767047303.0730572,90112,-3334.017822265625
1767047316.890672,92160,-2995.156494140625
1767047326.6883285,94208,-2995.156494140625
1767047336.948874,96256,-2995.156494140625
1767047346.7033467,98304,-2995.156494140625
1767047357.2687645,100352,-2995.156494140625
1767047367.8850992,102400,-3156.01123046875
1767047378.589128,104448,-3156.01123046875
1767047392.623443,106496,-2904.462646484375
1767047402.389133,108544,-2904.462646484375
1767047412.7231796,110592,-2904.462646484375
1767047427.134149,112640,-2789.28662109375
1767047436.577357,114688,-2789.28662109375
1767047448.3164256,116736,-2789.28662109375
1767047463.00308,118784,-2640.10205078125
1767047473.371385,120832,-2640.10205078125
1767047483.2030067,122880,-2640.10205078125
1767047493.0352492,124928,-2640.10205078125
1767047503.4155226,126976,-2640.10205078125
1767047514.6211066,129024,-2765.957763671875
1767047525.3903086,131072,-2765.957763671875
1767047535.0752287,133120,-2765.957763671875
1767047545.630614,135168,-2765.957763671875
1767047556.3347564,137216,-2765.957763671875
1767047565.8706744,139264,-2883.443115234375
1767047577.3429568,141312,-2883.443115234375
1767047586.83446,143360,-2883.443115234375
1767047601.259977,145408,-2809.2509765625
1767047612.0058067,147456,-2809.2509765625
1767047621.8448665,149504,-2809.2509765625
1767047631.85366,151552,-2809.2509765625
1767047650.3042421,153600,-2573.468017578125
1767047660.3135293,155648,-2573.468017578125
1767047669.647455,157696,-2573.468017578125
1767047678.9981697,159744,-2573.468017578125
1767047688.3792815,161792,-2573.468017578125
1767047698.4978454,163840,-2640.37841796875
1767047708.956406,165888,-2640.37841796875
1767047719.6725245,167936,-2640.37841796875
1767047729.0841732,169984,-2640.37841796875
1767047738.863738,172032,-2640.37841796875
1767047748.9760432,174080,-2732.71142578125
1767047758.4442217,176128,-2732.71142578125
1767047767.818801,178176,-2732.71142578125
1767047782.2457366,180224,-2665.964111328125
1767047792.431844,182272,-2665.964111328125
1767047803.025825,184320,-2665.964111328125
1767047813.5200498,186368,-2665.964111328125
